name,url
Linkedin,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/2be07d44-55af-40cb-aa92-cda27a1316961"" "
Italian Trade Agency,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/8f5e0099-c46b-4bea-9638-e4df4c2722461"" "
Lucid Software,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/c6c1379d-4a52-4fed-a2f8-2a1d4198acaf41"" "
BFM Business,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/0035e817-bc33-4312-98b0-f92734ea4c7941"" "
Epsiloon,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/133b082a-e0cf-4567-84d3-a42bbadcec2141"" "
ZEBOX,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/a453b9fb-7264-4ab2-aa6c-8b50135816661"" "
Sopra Steria,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/0a35e302-c50a-4e07-bdf5-1ea7bf5c52551"" "
Québec,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b7ffa5e6-7ba1-4bbd-9e0b-882bc8b079ef1"" "
Académie franco-allemande pour l'Industrie du Futur,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/6d6705e8-e129-4349-a0b9-ca2c162f914a1"" "
MICHELIN,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/0da7759f-9873-4ede-a328-6d84ca3ebb691"" "
Korian,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f935c8d9-7a91-487a-b319-4b8da6f44edc51"" "
monday.com,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/58ddf986-3f26-4a6f-8da5-4fba6ea05ba51"" "
We Are Normandy,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/aa0b1d5f-36bc-4725-ab75-45fc1d8349871"" "
Le Lab RH,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/472dee60-0612-4666-876a-393d02b54acc1"" "
International Finance Corporation,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ee42a43b-2082-47b1-b27c-21d504b7a1291"" "
Euronews / Euronews Next,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/44567297-4825-4709-b30c-0d6c9fa020eb1"" "
Région Nouvelle-Aquitaine,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/c64ddb82-d3c6-4c0a-a40d-bc17eac9dfab41"" "
KLAXOON,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/abd4c807-3661-4f61-8610-bdb1fdf9306c1"" "
Free Now,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b5b8b2fd-e626-4453-a663-f3306e618bbd1"" "
Ecole Nationale Supérieure d'Arts et Métiers,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b824adb0-d504-4bed-9ec1-b54203e9269c1"" "
AYMING,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/ee434f1c-7eac-4737-9634-b956eadb4dac1"" "
LionsTech Senegal,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/745700b4-b3c9-4fba-9356-542770bb1d1541"" "
LAVOIX,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f48059d4-3bcb-482c-8154-7b802c5b0b641"" "
Commission Européenne - DG DEFIS - Direction Générale pour l’Industrie de la défense et l’espace,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/eacd3cd4-1db8-4f27-a73a-24affb8506821"" "
SINGA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/a0c6e753-f6df-4b5f-ac75-9c842532ace21"" "
HUB Institute,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/f0fd75fd-2aad-4fe9-93a6-85619c8cb17d1"" "
French-German Tech Lab ,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/30bc28d7-aa92-4065-a14b-236f2507ff091"" "
OVHCloud,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/fca1d4b5-bdff-43af-8834-2f1572590ad81"" "
LumApps,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/2cf32cd6-8c45-427b-80ff-c7dd46b529c51"" "
HQI,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/8e99c7ac-e08a-4a8c-83ce-8a10630764a51"" "
RICHEMONT,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/bd57611a-45a0-4dae-8626-83f7a8aa68ed41"" "
Kyriba,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/6e5e60e6-e5db-4f49-b219-9ffa904f753c1"" "
Netherlands Enterprise Agency,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/6c68e330-2b14-4665-9766-d02072dae4ae1"" "
Marie Claire,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/2bb12bd6-7e5f-41f9-bbca-d5552c0842ea1"" "
Pépite France,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/e832b70b-598c-48ee-a97b-5570ad3fb74c1"" "
European Space Agency - ESA,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/acd1322c-f60d-4156-a0fa-97e2150ac9821"" "
Groupe Savoy,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/e89b9f72-33f0-494a-ba56-b55faaeb10391"" "
Explore Media,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/9deccfdc-bccb-423a-949c-c831a8eeb7fc1"" "
ANFR,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/71dc413b-e288-47ef-b33f-ad814259fb291"" "
NUMEUM,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/5d58b7ef-84da-4064-a5ed-469611dec6c41"" "
Mirror,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/fe78fd49-e419-4d8e-9650-43b1873d6fe11"" "
Startup Luxembourg,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/819f5166-64a5-4ee8-a658-37319b0fb9871"" "
Front,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/26eb9a9b-91b2-4c25-8cf3-ea7600ea26151"" "
Région Sud,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b8be1552-a687-4844-ab0e-5f00d0b8a6621"" "
Deezer,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/04e6935b-7ce8-4f0b-b694-53ab7f4bde1541"" "
OPPO,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/b812b514-12d3-4cbf-b214-5eb134a08efa1"" "
VO2 GROUP,"https://storageprdv2inwink.blob.core.windows.net/abf9dc9e-3c12-4999-b77b-9e1614c9760d/84a2524d-bc2f-4822-a989-27509ad2e12b1"" "
